train_loss,epoch,step,val_loss
1.6292684078216553,0,9,
1.3274061679840088,0,19,
1.2748491764068604,0,29,
1.2134084701538086,0,39,
1.2948412895202637,0,49,
1.239112377166748,0,59,
1.1768620014190674,0,69,
1.3513919115066528,0,79,
1.2137889862060547,0,89,
1.2641685009002686,0,99,
1.289422631263733,0,109,
1.2051531076431274,0,119,
1.4711074829101562,0,129,
1.1087722778320312,0,139,
1.2283505201339722,0,149,
1.4143238067626953,0,159,
1.310495376586914,0,169,
1.549185037612915,0,179,
1.4202988147735596,0,189,
1.3549890518188477,0,199,
1.227678894996643,0,209,
1.5453460216522217,0,219,
1.3277370929718018,0,229,
1.5190112590789795,0,239,
1.3301196098327637,0,249,
1.373131275177002,0,259,
1.2643285989761353,0,269,
1.2234734296798706,0,279,
1.3746485710144043,0,289,
1.3072776794433594,0,299,
1.2822656631469727,0,309,
1.3320714235305786,0,319,
1.324275016784668,0,329,
1.5169519186019897,0,339,
1.0847883224487305,0,349,
1.3141061067581177,0,359,
1.0741920471191406,0,369,
1.4131501913070679,0,379,
1.076718807220459,0,389,
1.1581623554229736,0,399,
1.2774577140808105,0,409,
1.3086955547332764,0,419,
1.3386123180389404,0,429,
1.4447444677352905,0,439,
1.3946805000305176,0,449,
1.3141024112701416,0,459,
1.452842354774475,0,469,
1.3271079063415527,0,479,
1.1244429349899292,0,489,
1.1641817092895508,0,499,
1.465315341949463,0,509,
1.4424632787704468,0,519,
1.6141538619995117,0,529,
1.3492896556854248,0,539,
1.3707282543182373,0,549,
1.3953096866607666,0,559,
1.3238775730133057,0,569,
1.1726130247116089,0,579,
1.28378164768219,0,589,
1.3792517185211182,0,599,
1.36065673828125,0,609,
1.33652925491333,0,619,
1.3533251285552979,0,629,
1.3578219413757324,0,639,
1.4301671981811523,0,649,
1.435752511024475,0,659,
1.2531499862670898,0,669,
1.0911128520965576,0,679,
1.065032720565796,0,689,
1.1877291202545166,0,699,
1.1450483798980713,0,709,
1.3912817239761353,0,719,
1.1382368803024292,0,729,
1.2749005556106567,0,739,
1.1714282035827637,0,749,
1.3164079189300537,0,759,
1.3775944709777832,0,769,
1.24543297290802,0,779,
1.230150818824768,0,789,
1.1797747611999512,0,799,
1.2112462520599365,0,809,
